지표코드,지표명,측정단위,정상범위,이상유형,문제설명,긴장근육(주요),약화근육(주요),교정운동(도수/자가),필라테스운동(Mat),필라테스운동(Reformer),필라테스운동(Cadillac),필라테스운동(Chair),필라테스운동(Barrel),임상적의미,추천레벨(초급/중급/고급),업데이트일
CVA,두개경추각,°,≥50°,낮음(거북목),경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,"요추기립근, 장요근","다열근, 심부경부굴근","흉근신장(PNF), 흉추 가동술","Bridge, Side-Lying Leg Lift","Bridge on Reformer, Long Stretch","Arm Springs - Extension, Roll Down with Push Through Bar","Hamstring Press, Press Down Front",Swan on Ladder Barrel,경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,초급,2025-11-06
CVA,두개경추각,°,≥50°,높음(과신전),경추 과신전 패턴으로 후두하근 과긴장,"내전근, 상부승모","능형근, 둔중근","슬괵근 마이오파샬 릴리스, 흉근신장(PNF)","Prone Scapular Retraction, Side-Lying Leg Lift","Bridge on Reformer, Knee Stretch Series","Cat Stretch, Tower Swan","Press Down Front, Swan Press",Short Box Round Back,경추 과신전 패턴으로 후두하근 과긴장,중급,2025-11-06
CVA,두개경추각,°,≥50°,정상,정상 범위 내 정렬,"견갑거근, 후두하근","다열근, 심부경부굴근","견갑하근 트리거포인트, 경정수기이완","Bridge, Swan Prep","Elephant, Long Stretch","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Standing Hip Extension",Swan on Ladder Barrel,정상 범위 내 정렬,중급,2025-11-06
HPD,두부전방이동,cm,≤2cm,높음,두부 전방 돌출로 경추·흉추 이행부 스트레스 증가,"견갑거근, 내전근","심부경부굴근, 전거근","경정수기이완, 흉추 가동술","Prone Scapular Retraction, Side-Lying Leg Lift","Elephant, Footwork Parallel Heels","Cat Stretch, Leg Springs - Supine","Hamstring Press, Step Up Lateral",Adductor Stretch on Barrel,두부 전방 돌출로 경추·흉추 이행부 스트레스 증가,고급,2025-11-06
HPD,두부전방이동,cm,≤2cm,정상,정상 범위,"요추기립근, 장요근","내측광근, 비골근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Prone Scapular Retraction, Single Leg Stretch","Knee Stretch Series, Side Splits","Cat Stretch, Tower Swan","Hamstring Press, Spine Stretch Forward (Chair)",Shoulder Extension on Barrel,정상 범위,고급,2025-11-06
TIA,체간경사각,°,0–10°,높음(전방기울기),요추 전만 증가 및 고관절 굴곡 지배,"견갑거근, 내측광근","능형근, 비골근","경정수기이완, 슬괵근 마이오파샬 릴리스","Prone Scapular Retraction, Swan Prep","Long Stretch, Rowing Back","Arm Springs - Extension, Teaser Prep on Cadillac","Hamstring Press, Swan Press",Short Box Round Back,요추 전만 증가 및 고관절 굴곡 지배,초급,2025-11-06
TIA,체간경사각,°,0–10°,낮음/후방기울기,편평등 경향,"대흉근, 후두하근","심부경부굴근, 외측광근","경정수기이완, 슬괵근 마이오파샬 릴리스","Bridge, Single Leg Stretch","Footwork Parallel Heels, Rowing Back","Arm Springs - Extension, Tower Swan","Hamstring Press, Press Down Front",Shoulder Extension on Barrel,편평등 경향,중급,2025-11-06
TIA,체간경사각,°,0–10°,정상,정상 범위,"대퇴직근, 후두하근","복횡근, 전거근","장요근 스트레칭, 흉근신장(PNF)","Prone Scapular Retraction, Swan Prep","Elephant, Scooter","Arm Springs - Extension, Teaser Prep on Cadillac","Press Down Front, Step Up Lateral",Short Box Round Back,정상 범위,고급,2025-11-06
SAA,어깨전방각,°,0–10°,높음(라운드숄더),견갑 전인/상방회전 패턴,"외측광근, 햄스트링","전거근, 중하부승모","경정수기이완, 장요근 스트레칭","Hundred Prep, Single Leg Stretch","Bridge on Reformer, Elephant","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Standing Hip Extension",Side Bend on Barrel,견갑 전인/상방회전 패턴,초급,2025-11-06
SAA,어깨전방각,°,0–10°,정상,정상 범위,"장요근, 햄스트링","내측광근, 복횡근","경정수기이완, 장요근 스트레칭","Bridge, Hundred Prep","Elephant, Long Stretch","Teaser Prep on Cadillac, Tower Swan","Spine Stretch Forward (Chair), Step Up Lateral",Shoulder Extension on Barrel,정상 범위,초급,2025-11-06
PTA,골반 전후경사각,°,0–15°,낮음(후경사),햄스트링/복근 지배로 요추 편평,"장요근, 햄스트링","둔중근, 중둔근","경정수기이완, 흉근신장(PNF)","Dead Bug, Spine Twist","Bridge on Reformer, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Swan Press",Side Bend on Barrel,햄스트링/복근 지배로 요추 편평,초급,2025-11-06
PTA,골반 전후경사각,°,0–15°,높음(전방경사),장요근/대퇴직근 과긴장으로 전만 증가,"대퇴직근, 요추기립근","능형근, 중하부승모","흉근신장(PNF), 흉추 가동술","Dead Bug, Rolling Like a Ball","Pulling Straps, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Swan Press",Side Bend on Barrel,장요근/대퇴직근 과긴장으로 전만 증가,고급,2025-11-06
PTA,골반 전후경사각,°,0–15°,정상,정상 범위,"대퇴이두, 소흉근","복횡근, 전경골근","슬개 추적 교정 테이핑, 흉추 가동술","Hundred Prep, Rolling Like a Ball","Footwork Parallel Heels, Scooter","Cat Stretch, Leg Springs - Supine","Press Down Front, Spine Stretch Forward (Chair)",Adductor Stretch on Barrel,정상 범위,고급,2025-11-06
KA,무릎각,°,175–185°,낮음(내반/valgum),슬관절 내반 경향으로 내측 과부하,"장요근, 햄스트링","둔중근, 비골근","경정수기이완, 슬괵근 마이오파샬 릴리스","Rolling Like a Ball, Side-Lying Leg Lift","Knee Stretch Series, Rowing Back","Leg Springs - Supine, Tower Swan","Press Down Front, Step Up Lateral",Shoulder Extension on Barrel,슬관절 내반 경향으로 내측 과부하,초급,2025-11-06
KA,무릎각,°,175–185°,높음(외반/varum),슬관절 외반 경향으로 외측 과부하,"대퇴직근, 햄스트링","내측광근, 둔중근","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Dead Bug, Single Leg Stretch","Footwork Parallel Heels, Pulling Straps","Cat Stretch, Teaser Prep on Cadillac","Step Up Lateral, Swan Press",Shoulder Extension on Barrel,슬관절 외반 경향으로 외측 과부하,초급,2025-11-06
KA,무릎각,°,175–185°,정상,정렬 양호,"외측광근, 후두하근","다열근, 둔소근","슬개 추적 교정 테이핑, 흉추 가동술","Dead Bug, Side-Lying Leg Lift","Elephant, Pulling Straps","Leg Springs - Supine, Teaser Prep on Cadillac","Hamstring Press, Standing Hip Extension",Adductor Stretch on Barrel,정렬 양호,초급,2025-11-06
Tibial,경골경사각,°,0–10°,높음(전방경사),하퇴 전방 경사 증가,"대퇴이두, 소흉근","내측광근, 비골근","슬괵근 마이오파샬 릴리스, 흉추 가동술","Chin Tuck & Axial Elongation, Swan Prep","Knee Stretch Series, Pulling Straps","Cat Stretch, Tower Swan","Hamstring Press, Standing Hip Extension",Short Box Round Back,하퇴 전방 경사 증가,고급,2025-11-06
Tibial,경골경사각,°,0–10°,정상,정상 범위,"내측광근, 장요근","외측광근, 전거근","흉근신장(PNF), 흉추 가동술","Dead Bug, Side-Lying Leg Lift","Bridge on Reformer, Footwork Parallel Heels","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Press Down Front, Spine Stretch Forward (Chair)",Short Box Round Back,정상 범위,중급,2025-11-06
GSB,중력중심선,cm,≤2cm,전방편위,전신 전방 체중이동,"상부승모, 외측광근","둔중근, 심부경부굴근","경정수기이완, 슬괵근 마이오파샬 릴리스","Side-Lying Leg Lift, Single Leg Stretch","Long Stretch, Scooter","Cat Stretch, Tower Swan","Press Down Front, Swan Press",Adductor Stretch on Barrel,전신 전방 체중이동,중급,2025-11-06
GSB,중력중심선,cm,≤2cm,후방편위,후방 체중이동,"내측광근, 햄스트링","둔소근, 전경골근","경정수기이완, 흉근신장(PNF)","Hundred Prep, Spine Twist","Footwork Parallel Heels, Knee Stretch Series","Arm Springs - Extension, Leg Springs - Supine","Standing Hip Extension, Swan Press",Short Box Round Back,후방 체중이동,초급,2025-11-06
GSB,중력중심선,cm,≤2cm,정상,정렬 양호,"비복근, 햄스트링","둔중근, 심부경부굴근","경정수기이완, 슬괵근 마이오파샬 릴리스","Bridge, Prone Scapular Retraction","Scooter, Side Splits","Teaser Prep on Cadillac, Tower Swan","Step Up Lateral, Swan Press",Side Bend on Barrel,정렬 양호,고급,2025-11-06
HPA,머리-골반각,°,0–10°,높음,머리-골반 협응 저하,"견갑거근, 장요근","비골근, 전거근","슬개 추적 교정 테이핑, 흉근신장(PNF)","Single Leg Stretch, Spine Twist","Bridge on Reformer, Rowing Back","Roll Down with Push Through Bar, Tower Swan","Step Up Lateral, Swan Press",Shoulder Extension on Barrel,머리-골반 협응 저하,중급,2025-11-06
HPA,머리-골반각,°,0–10°,정상,정상 범위,"소흉근, 요추기립근","다열근, 중하부승모","슬개 추적 교정 테이핑, 슬괵근 마이오파샬 릴리스","Chin Tuck & Axial Elongation, Spine Twist","Bridge on Reformer, Elephant","Cat Stretch, Roll Down with Push Through Bar","Standing Hip Extension, Swan Press",Short Box Round Back,정상 범위,초급,2025-11-06
STA,어깨기울기각,°,≤3°,비대칭(좌상),좌측 견갑대 상승,"대흉근, 장요근","둔중근, 외측광근","슬개 추적 교정 테이핑, 흉추 가동술","Chin Tuck & Axial Elongation, Rolling Like a Ball","Elephant, Side Splits","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Step Up Lateral, Swan Press",Swan on Ladder Barrel,좌측 견갑대 상승,초급,2025-11-06
STA,어깨기울기각,°,≤3°,비대칭(우상),우측 견갑대 상승,"대흉근, 비복근","능형근, 전경골근","견갑하근 트리거포인트, 장요근 스트레칭","Single Leg Stretch, Swan Prep","Bridge on Reformer, Rowing Back","Arm Springs - Extension, Cat Stretch","Press Down Front, Standing Hip Extension",Adductor Stretch on Barrel,우측 견갑대 상승,초급,2025-11-06
STA,어깨기울기각,°,≤3°,정상,정상 범위,"내전근, 상부승모","내측광근, 외측광근","슬개 추적 교정 테이핑, 슬괵근 마이오파샬 릴리스","Dead Bug, Side-Lying Leg Lift","Bridge on Reformer, Pulling Straps","Cat Stretch, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Step Up Lateral",Short Box Round Back,정상 범위,초급,2025-11-06
POA,골반기울기각,°,≤3°,비대칭(좌하),좌측 골반 하강,"견갑거근, 내전근","둔중근, 중둔근","슬괵근 마이오파샬 릴리스, 흉근신장(PNF)","Bridge, Rolling Like a Ball","Elephant, Scooter","Arm Springs - Extension, Roll Down with Push Through Bar","Standing Hip Extension, Swan Press",Adductor Stretch on Barrel,좌측 골반 하강,중급,2025-11-06
POA,골반기울기각,°,≤3°,비대칭(우하),우측 골반 하강,"견갑거근, 내측광근","전거근, 중하부승모","견갑하근 트리거포인트, 경정수기이완","Single Leg Stretch, Swan Prep","Bridge on Reformer, Footwork Parallel Heels","Leg Springs - Supine, Tower Swan","Press Down Front, Spine Stretch Forward (Chair)",Side Bend on Barrel,우측 골반 하강,초급,2025-11-06
POA,골반기울기각,°,≤3°,정상,정상 범위,"상부승모, 장요근","내측광근, 능형근","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Chin Tuck & Axial Elongation, Prone Scapular Retraction","Bridge on Reformer, Knee Stretch Series","Arm Springs - Extension, Teaser Prep on Cadillac","Hamstring Press, Spine Stretch Forward (Chair)",Short Box Round Back,정상 범위,초급,2025-11-06
TD,체간편위,°,0–3°,좌편위,좌측 체간 이동,"내측광근, 상부승모","내측광근, 전경골근","견갑하근 트리거포인트, 흉추 가동술","Bridge, Rolling Like a Ball","Footwork Parallel Heels, Pulling Straps","Roll Down with Push Through Bar, Tower Swan","Hamstring Press, Standing Hip Extension",Shoulder Extension on Barrel,좌측 체간 이동,초급,2025-11-06
TD,체간편위,°,0–3°,우편위,우측 체간 이동,"대퇴직근, 비복근","다열근, 복횡근","장요근 스트레칭, 흉추 가동술","Chin Tuck & Axial Elongation, Side-Lying Leg Lift","Elephant, Knee Stretch Series","Cat Stretch, Teaser Prep on Cadillac","Press Down Front, Swan Press",Swan on Ladder Barrel,우측 체간 이동,초급,2025-11-06
TD,체간편위,°,0–3°,정상,정상 범위,"대퇴이두, 상부승모","심부경부굴근, 중하부승모","흉근신장(PNF), 흉추 가동술","Prone Scapular Retraction, Rolling Like a Ball","Elephant, Knee Stretch Series","Arm Springs - Extension, Leg Springs - Supine","Press Down Front, Step Up Lateral",Short Box Round Back,정상 범위,고급,2025-11-06
HTA,머리기울기각,°,≤3°,좌경사,좌측 측굴 습관,"비복근, 외측광근","비골근, 중둔근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Dead Bug, Swan Prep","Bridge on Reformer, Scooter","Leg Springs - Supine, Roll Down with Push Through Bar","Press Down Front, Swan Press",Adductor Stretch on Barrel,좌측 측굴 습관,고급,2025-11-06
HTA,머리기울기각,°,≤3°,우경사,우측 측굴 습관,"소흉근, 요추기립근","둔중근, 심부경부굴근","경정수기이완, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Dead Bug","Long Stretch, Pulling Straps","Cat Stretch, Tower Swan","Standing Hip Extension, Swan Press",Side Bend on Barrel,우측 측굴 습관,고급,2025-11-06
HTA,머리기울기각,°,≤3°,정상,정상 범위,"외측광근, 햄스트링","다열근, 비골근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Chin Tuck & Axial Elongation, Side-Lying Leg Lift","Knee Stretch Series, Rowing Back","Arm Springs - Extension, Cat Stretch","Press Down Front, Step Up Lateral",Shoulder Extension on Barrel,정상 범위,고급,2025-11-06
SPP,어깨-골반 평행도,°,0–3°,비대칭,상·하위 고리 비틀림,"대흉근, 비복근","심부경부굴근, 전경골근","슬개 추적 교정 테이핑, 장요근 스트레칭","Rolling Like a Ball, Swan Prep","Scooter, Side Splits","Leg Springs - Supine, Tower Swan","Hamstring Press, Step Up Lateral",Adductor Stretch on Barrel,상·하위 고리 비틀림,중급,2025-11-06
SPP,어깨-골반 평행도,°,0–3°,정상,정상 범위,"상부승모, 요추기립근","복횡근, 심부경부굴근","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Single Leg Stretch, Swan Prep","Rowing Back, Side Splits","Teaser Prep on Cadillac, Tower Swan","Standing Hip Extension, Swan Press",Adductor Stretch on Barrel,정상 범위,초급,2025-11-06
LLD,하지길이차,cm,≤1cm,좌단축,좌 하지 단축/기능적 비대칭,"요추기립근, 후두하근","둔중근, 심부경부굴근","경정수기이완, 흉근신장(PNF)","Hundred Prep, Side-Lying Leg Lift","Footwork Parallel Heels, Side Splits","Teaser Prep on Cadillac, Tower Swan","Hamstring Press, Press Down Front",Shoulder Extension on Barrel,좌 하지 단축/기능적 비대칭,중급,2025-11-06
LLD,하지길이차,cm,≤1cm,우단축,우 하지 단축/기능적 비대칭,"상부승모, 햄스트링","비골근, 중둔근","견갑하근 트리거포인트, 슬개 추적 교정 테이핑","Dead Bug, Prone Scapular Retraction","Knee Stretch Series, Rowing Back","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Swan Press",Swan on Ladder Barrel,우 하지 단축/기능적 비대칭,고급,2025-11-06
LLD,하지길이차,cm,≤1cm,정상,정상 범위,"대퇴이두, 요추기립근","복횡근, 전거근","경정수기이완, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Rolling Like a Ball","Elephant, Knee Stretch Series","Cat Stretch, Leg Springs - Supine","Press Down Front, Step Up Lateral",Side Bend on Barrel,정상 범위,초급,2025-11-06
QANGLE,Q각,°,10–20°,높음,슬개골 외측 압박 증가,"대흉근, 상부승모","비골근, 외측광근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Rolling Like a Ball, Swan Prep","Long Stretch, Scooter","Leg Springs - Supine, Teaser Prep on Cadillac","Press Down Front, Swan Press",Shoulder Extension on Barrel,슬개골 외측 압박 증가,중급,2025-11-06
QANGLE,Q각,°,10–20°,낮음,내반 경향,"내전근, 비복근","외측광근, 전거근","장요근 스트레칭, 흉추 가동술","Chin Tuck & Axial Elongation, Side-Lying Leg Lift","Elephant, Side Splits","Arm Springs - Extension, Teaser Prep on Cadillac","Standing Hip Extension, Swan Press",Adductor Stretch on Barrel,내반 경향,중급,2025-11-06
QANGLE,Q각,°,10–20°,정상,정상 범위,"대퇴이두, 외측광근","능형근, 중하부승모","경정수기이완, 슬개 추적 교정 테이핑","Chin Tuck & Axial Elongation, Side-Lying Leg Lift","Elephant, Long Stretch","Cat Stretch, Teaser Prep on Cadillac","Standing Hip Extension, Step Up Lateral",Swan on Ladder Barrel,정상 범위,고급,2025-11-06
KNEEDEV,무릎편위,°,0–3°,내측편위,슬개 내측 이동,"상부승모, 소흉근","둔소근, 둔중근","견갑하근 트리거포인트, 경정수기이완","Hundred Prep, Spine Twist","Bridge on Reformer, Knee Stretch Series","Arm Springs - Extension, Leg Springs - Supine","Standing Hip Extension, Swan Press",Swan on Ladder Barrel,슬개 내측 이동,초급,2025-11-06
KNEEDEV,무릎편위,°,0–3°,외측편위,슬개 외측 이동,"내측광근, 대흉근","복횡근, 중둔근","경정수기이완, 장요근 스트레칭","Bridge, Swan Prep","Elephant, Footwork Parallel Heels","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Step Up Lateral",Shoulder Extension on Barrel,슬개 외측 이동,초급,2025-11-06
KNEEDEV,무릎편위,°,0–3°,정상,정상 범위,"장요근, 햄스트링","둔소근, 중하부승모","견갑하근 트리거포인트, 흉근신장(PNF)","Hundred Prep, Rolling Like a Ball","Knee Stretch Series, Scooter","Leg Springs - Supine, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Step Up Lateral",Swan on Ladder Barrel,정상 범위,초급,2025-11-06
KAS,무릎정렬대칭성,°,0–3°,비대칭,좌우 굴곡/신전 차,"비복근, 요추기립근","둔중근, 전경골근","슬개 추적 교정 테이핑, 흉근신장(PNF)","Bridge, Spine Twist","Elephant, Footwork Parallel Heels","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Hamstring Press, Standing Hip Extension",Swan on Ladder Barrel,좌우 굴곡/신전 차,초급,2025-11-06
KAS,무릎정렬대칭성,°,0–3°,정상,정상 범위,"대퇴직근, 요추기립근","둔중근, 전거근","경정수기이완, 흉근신장(PNF)","Rolling Like a Ball, Spine Twist","Elephant, Scooter","Cat Stretch, Leg Springs - Supine","Spine Stretch Forward (Chair), Standing Hip Extension",Side Bend on Barrel,정상 범위,초급,2025-11-06
LLAS,하지축대칭성,°,0–3°,비대칭,고관절/무릎/발목 정렬 차,"대퇴이두, 요추기립근","둔중근, 복횡근","슬개 추적 교정 테이핑, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Swan Prep","Knee Stretch Series, Pulling Straps","Cat Stretch, Roll Down with Push Through Bar","Standing Hip Extension, Swan Press",Side Bend on Barrel,고관절/무릎/발목 정렬 차,초급,2025-11-06
LLAS,하지축대칭성,°,0–3°,정상,정상 범위,"내측광근, 요추기립근","다열근, 중둔근","슬괵근 마이오파샬 릴리스, 흉근신장(PNF)","Side-Lying Leg Lift, Single Leg Stretch","Long Stretch, Scooter","Cat Stretch, Teaser Prep on Cadillac","Press Down Front, Step Up Lateral",Shoulder Extension on Barrel,정상 범위,초급,2025-11-06
