지표코드,지표명,측정단위,정상범위,이상유형,문제설명,긴장근육(주요),약화근육(주요),교정운동(도수/자가),필라테스운동(Mat),필라테스운동(Reformer),필라테스운동(Cadillac),필라테스운동(Chair),필라테스운동(Barrel),임상적의미,추천레벨(초급/중급/고급),업데이트일
FBA,발정렬각,°,0–7°,과회내,내측 종아치 붕괴,"견갑거근, 후두하근","심부경부굴근, 중둔근","슬개 추적 교정 테이핑, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Rolling Like a Ball","Footwork Parallel Heels, Pulling Straps","Arm Springs - Extension, Leg Springs - Supine","Spine Stretch Forward (Chair), Step Up Lateral",Side Bend on Barrel,내측 종아치 붕괴,중급,2025-11-06
FBA,발정렬각,°,0–7°,과회외,외측 가중,"내측광근, 대퇴직근","둔중근, 중하부승모","견갑하근 트리거포인트, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Swan Prep","Bridge on Reformer, Elephant","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Hamstring Press, Swan Press",Side Bend on Barrel,외측 가중,고급,2025-11-06
FBA,발정렬각,°,0–7°,정상,정상 범위,"대퇴이두, 대퇴직근","내측광근, 복횡근","견갑하근 트리거포인트, 슬개 추적 교정 테이핑","Bridge, Spine Twist","Long Stretch, Pulling Straps","Cat Stretch, Tower Swan","Spine Stretch Forward (Chair), Standing Hip Extension",Side Bend on Barrel,정상 범위,중급,2025-11-06
CVA,두개경추각,°,≥50°,낮음(거북목)(세부),경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제 — 세부 패턴,"견갑거근, 장요근","둔소근, 전경골근","장요근 스트레칭, 흉추 가동술","Hundred Prep, Prone Scapular Retraction","Pulling Straps, Side Splits","Arm Springs - Extension, Teaser Prep on Cadillac","Standing Hip Extension, Swan Press",Side Bend on Barrel,경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,고급,2025-11-06
HPD,두부전방이동,cm,≤2cm,정상(세부),정상 범위 — 세부 패턴,"대흉근, 외측광근","내측광근, 둔중근","경정수기이완, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Rolling Like a Ball","Knee Stretch Series, Scooter","Arm Springs - Extension, Leg Springs - Supine","Hamstring Press, Press Down Front",Shoulder Extension on Barrel,정상 범위,초급,2025-11-06
TIA,체간경사각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"내전근, 비복근","전거근, 전경골근","슬개 추적 교정 테이핑, 흉추 가동술","Bridge, Dead Bug","Elephant, Pulling Straps","Arm Springs - Extension, Tower Swan","Standing Hip Extension, Step Up Lateral",Side Bend on Barrel,정상 범위,초급,2025-11-06
SAA,어깨전방각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"상부승모, 소흉근","둔소근, 중둔근","슬개 추적 교정 테이핑, 흉근신장(PNF)","Dead Bug, Hundred Prep","Knee Stretch Series, Pulling Straps","Arm Springs - Extension, Teaser Prep on Cadillac","Standing Hip Extension, Swan Press",Swan on Ladder Barrel,정상 범위,중급,2025-11-06
PTA,골반 전후경사각,°,0–15°,낮음(후경사)(세부),햄스트링/복근 지배로 요추 편평 — 세부 패턴,"대퇴이두, 대흉근","둔중근, 비골근","장요근 스트레칭, 흉추 가동술","Hundred Prep, Spine Twist","Elephant, Long Stretch","Cat Stretch, Roll Down with Push Through Bar","Press Down Front, Standing Hip Extension",Short Box Round Back,햄스트링/복근 지배로 요추 편평,고급,2025-11-06
KA,무릎각,°,175–185°,낮음(내반/valgum)(세부),슬관절 내반 경향으로 내측 과부하 — 세부 패턴,"대흉근, 비복근","외측광근, 전거근","슬개 추적 교정 테이핑, 슬괵근 마이오파샬 릴리스","Rolling Like a Ball, Side-Lying Leg Lift","Rowing Back, Scooter","Cat Stretch, Teaser Prep on Cadillac","Press Down Front, Swan Press",Adductor Stretch on Barrel,슬관절 내반 경향으로 내측 과부하,초급,2025-11-06
Tibial,경골경사각,°,0–10°,높음(전방경사)(세부),하퇴 전방 경사 증가 — 세부 패턴,"대퇴이두, 요추기립근","다열근, 심부경부굴근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Single Leg Stretch, Swan Prep","Footwork Parallel Heels, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Press Down Front, Standing Hip Extension",Side Bend on Barrel,하퇴 전방 경사 증가,중급,2025-11-06
GSB,중력중심선,cm,≤2cm,정상(세부),정렬 양호 — 세부 패턴,"비복근, 외측광근","다열근, 전경골근","경정수기이완, 흉추 가동술","Bridge, Single Leg Stretch","Knee Stretch Series, Side Splits","Arm Springs - Extension, Roll Down with Push Through Bar","Standing Hip Extension, Step Up Lateral",Swan on Ladder Barrel,정렬 양호,초급,2025-11-06
HPA,머리-골반각,°,0–10°,높음(세부),머리-골반 협응 저하 — 세부 패턴,"내전근, 소흉근","복횡근, 심부경부굴근","장요근 스트레칭, 흉추 가동술","Side-Lying Leg Lift, Single Leg Stretch","Long Stretch, Side Splits","Arm Springs - Extension, Leg Springs - Supine","Spine Stretch Forward (Chair), Standing Hip Extension",Side Bend on Barrel,머리-골반 협응 저하,고급,2025-11-06
STA,어깨기울기각,°,≤3°,비대칭(좌상)(세부),좌측 견갑대 상승 — 세부 패턴,"내전근, 후두하근","비골근, 중둔근","장요근 스트레칭, 흉추 가동술","Chin Tuck & Axial Elongation, Prone Scapular Retraction","Bridge on Reformer, Long Stretch","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Step Up Lateral",Swan on Ladder Barrel,좌측 견갑대 상승,초급,2025-11-06
POA,골반기울기각,°,≤3°,정상(세부),정상 범위 — 세부 패턴,"내측광근, 장요근","둔중근, 전경골근","슬개 추적 교정 테이핑, 장요근 스트레칭","Hundred Prep, Single Leg Stretch","Bridge on Reformer, Side Splits","Leg Springs - Supine, Teaser Prep on Cadillac","Hamstring Press, Step Up Lateral",Adductor Stretch on Barrel,정상 범위,고급,2025-11-06
TD,체간편위,°,0–3°,좌편위(세부),좌측 체간 이동 — 세부 패턴,"내전근, 비복근","외측광근, 전거근","견갑하근 트리거포인트, 슬개 추적 교정 테이핑","Hundred Prep, Rolling Like a Ball","Bridge on Reformer, Side Splits","Arm Springs - Extension, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Step Up Lateral",Side Bend on Barrel,좌측 체간 이동,중급,2025-11-06
HTA,머리기울기각,°,≤3°,좌경사(세부),좌측 측굴 습관 — 세부 패턴,"상부승모, 장요근","전거근, 중하부승모","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Bridge, Spine Twist","Elephant, Long Stretch","Arm Springs - Extension, Leg Springs - Supine","Press Down Front, Swan Press",Swan on Ladder Barrel,좌측 측굴 습관,초급,2025-11-06
SPP,어깨-골반 평행도,°,0–3°,비대칭(세부),상·하위 고리 비틀림 — 세부 패턴,"내전근, 외측광근","내측광근, 복횡근","경정수기이완, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Prone Scapular Retraction","Footwork Parallel Heels, Scooter","Cat Stretch, Roll Down with Push Through Bar","Press Down Front, Step Up Lateral",Swan on Ladder Barrel,상·하위 고리 비틀림,고급,2025-11-06
LLD,하지길이차,cm,≤1cm,좌단축(세부),좌 하지 단축/기능적 비대칭 — 세부 패턴,"상부승모, 요추기립근","복횡근, 심부경부굴근","견갑하근 트리거포인트, 장요근 스트레칭","Prone Scapular Retraction, Rolling Like a Ball","Knee Stretch Series, Scooter","Cat Stretch, Tower Swan","Standing Hip Extension, Step Up Lateral",Side Bend on Barrel,좌 하지 단축/기능적 비대칭,중급,2025-11-06
QANGLE,Q각,°,10–20°,정상(세부),정상 범위 — 세부 패턴,"대흉근, 외측광근","다열근, 중하부승모","견갑하근 트리거포인트, 장요근 스트레칭","Bridge, Single Leg Stretch","Footwork Parallel Heels, Scooter","Arm Springs - Extension, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Swan Press",Short Box Round Back,정상 범위,초급,2025-11-06
KNEEDEV,무릎편위,°,0–3°,정상(세부),정상 범위 — 세부 패턴,"대흉근, 외측광근","다열근, 외측광근","슬개 추적 교정 테이핑, 흉추 가동술","Dead Bug, Single Leg Stretch","Knee Stretch Series, Long Stretch","Roll Down with Push Through Bar, Tower Swan","Hamstring Press, Standing Hip Extension",Short Box Round Back,정상 범위,중급,2025-11-06
KAS,무릎정렬대칭성,°,0–3°,비대칭(세부),좌우 굴곡/신전 차 — 세부 패턴,"견갑거근, 대퇴이두","다열근, 중둔근","견갑하근 트리거포인트, 경정수기이완","Rolling Like a Ball, Side-Lying Leg Lift","Footwork Parallel Heels, Side Splits","Arm Springs - Extension, Leg Springs - Supine","Press Down Front, Standing Hip Extension",Short Box Round Back,좌우 굴곡/신전 차,초급,2025-11-06
LLAS,하지축대칭성,°,0–3°,비대칭(세부),고관절/무릎/발목 정렬 차 — 세부 패턴,"요추기립근, 장요근","다열근, 비골근","슬개 추적 교정 테이핑, 흉추 가동술","Hundred Prep, Swan Prep","Bridge on Reformer, Long Stretch","Arm Springs - Extension, Teaser Prep on Cadillac","Press Down Front, Swan Press",Shoulder Extension on Barrel,고관절/무릎/발목 정렬 차,초급,2025-11-06
FBA,발정렬각,°,0–7°,정상(세부),정상 범위 — 세부 패턴,"견갑거근, 대퇴직근","중둔근, 중하부승모","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Bridge, Dead Bug","Rowing Back, Scooter","Cat Stretch, Leg Springs - Supine","Press Down Front, Spine Stretch Forward (Chair)",Short Box Round Back,정상 범위,중급,2025-11-06
CVA,두개경추각,°,≥50°,낮음(거북목)(세부),경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제 — 세부 패턴,"내전근, 대흉근","전거근, 중하부승모","견갑하근 트리거포인트, 흉근신장(PNF)","Chin Tuck & Axial Elongation, Hundred Prep","Footwork Parallel Heels, Rowing Back","Cat Stretch, Roll Down with Push Through Bar","Press Down Front, Swan Press",Shoulder Extension on Barrel,경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,초급,2025-11-06
HPD,두부전방이동,cm,≤2cm,정상(세부),정상 범위 — 세부 패턴,"견갑거근, 내전근","둔중근, 심부경부굴근","견갑하근 트리거포인트, 흉근신장(PNF)","Hundred Prep, Rolling Like a Ball","Long Stretch, Scooter","Leg Springs - Supine, Teaser Prep on Cadillac","Standing Hip Extension, Step Up Lateral",Swan on Ladder Barrel,정상 범위,초급,2025-11-06
TIA,체간경사각,°,0–10°,높음(전방기울기)(세부),요추 전만 증가 및 고관절 굴곡 지배 — 세부 패턴,"대흉근, 장요근","둔소근, 중하부승모","슬개 추적 교정 테이핑, 흉근신장(PNF)","Rolling Like a Ball, Side-Lying Leg Lift","Elephant, Rowing Back","Leg Springs - Supine, Teaser Prep on Cadillac","Hamstring Press, Spine Stretch Forward (Chair)",Side Bend on Barrel,요추 전만 증가 및 고관절 굴곡 지배,중급,2025-11-06
SAA,어깨전방각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"대흉근, 비복근","심부경부굴근, 전경골근","견갑하근 트리거포인트, 흉추 가동술","Bridge, Chin Tuck & Axial Elongation","Bridge on Reformer, Side Splits","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Hamstring Press, Step Up Lateral",Shoulder Extension on Barrel,정상 범위,고급,2025-11-06
PTA,골반 전후경사각,°,0–15°,높음(전방경사)(세부),장요근/대퇴직근 과긴장으로 전만 증가 — 세부 패턴,"상부승모, 후두하근","비골근, 중하부승모","견갑하근 트리거포인트, 경정수기이완","Rolling Like a Ball, Side-Lying Leg Lift","Elephant, Side Splits","Arm Springs - Extension, Leg Springs - Supine","Hamstring Press, Spine Stretch Forward (Chair)",Shoulder Extension on Barrel,장요근/대퇴직근 과긴장으로 전만 증가,중급,2025-11-06
KA,무릎각,°,175–185°,낮음(내반/valgum)(세부),슬관절 내반 경향으로 내측 과부하 — 세부 패턴,"비복근, 장요근","내측광근, 중둔근","슬괵근 마이오파샬 릴리스, 흉추 가동술","Chin Tuck & Axial Elongation, Prone Scapular Retraction","Bridge on Reformer, Side Splits","Cat Stretch, Roll Down with Push Through Bar","Press Down Front, Step Up Lateral",Short Box Round Back,슬관절 내반 경향으로 내측 과부하,중급,2025-11-06
Tibial,경골경사각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"대퇴이두, 비복근","다열근, 중둔근","경정수기이완, 슬개 추적 교정 테이핑","Bridge, Prone Scapular Retraction","Long Stretch, Rowing Back","Arm Springs - Extension, Tower Swan","Press Down Front, Step Up Lateral",Side Bend on Barrel,정상 범위,초급,2025-11-06
GSB,중력중심선,cm,≤2cm,정상(세부),정렬 양호 — 세부 패턴,"견갑거근, 장요근","능형근, 복횡근","경정수기이완, 장요근 스트레칭","Dead Bug, Swan Prep","Elephant, Knee Stretch Series","Leg Springs - Supine, Roll Down with Push Through Bar","Hamstring Press, Swan Press",Side Bend on Barrel,정렬 양호,중급,2025-11-06
HPA,머리-골반각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"내전근, 비복근","능형근, 둔소근","경정수기이완, 흉근신장(PNF)","Rolling Like a Ball, Side-Lying Leg Lift","Footwork Parallel Heels, Pulling Straps","Roll Down with Push Through Bar, Tower Swan","Hamstring Press, Standing Hip Extension",Swan on Ladder Barrel,정상 범위,초급,2025-11-06
STA,어깨기울기각,°,≤3°,비대칭(우상)(세부),우측 견갑대 상승 — 세부 패턴,"대흉근, 상부승모","심부경부굴근, 전거근","흉근신장(PNF), 흉추 가동술","Hundred Prep, Spine Twist","Bridge on Reformer, Pulling Straps","Cat Stretch, Leg Springs - Supine","Hamstring Press, Step Up Lateral",Side Bend on Barrel,우측 견갑대 상승,고급,2025-11-06
POA,골반기울기각,°,≤3°,비대칭(우하)(세부),우측 골반 하강 — 세부 패턴,"내측광근, 상부승모","둔중근, 비골근","견갑하근 트리거포인트, 흉근신장(PNF)","Single Leg Stretch, Spine Twist","Elephant, Side Splits","Cat Stretch, Tower Swan","Hamstring Press, Standing Hip Extension",Short Box Round Back,우측 골반 하강,초급,2025-11-06
TD,체간편위,°,0–3°,정상(세부),정상 범위 — 세부 패턴,"비복근, 소흉근","복횡근, 중둔근","견갑하근 트리거포인트, 슬개 추적 교정 테이핑","Bridge, Hundred Prep","Bridge on Reformer, Scooter","Cat Stretch, Teaser Prep on Cadillac","Hamstring Press, Press Down Front",Short Box Round Back,정상 범위,초급,2025-11-06
HTA,머리기울기각,°,≤3°,우경사(세부),우측 측굴 습관 — 세부 패턴,"비복근, 소흉근","능형근, 전거근","견갑하근 트리거포인트, 흉근신장(PNF)","Bridge, Single Leg Stretch","Rowing Back, Side Splits","Leg Springs - Supine, Teaser Prep on Cadillac","Press Down Front, Step Up Lateral",Side Bend on Barrel,우측 측굴 습관,중급,2025-11-06
SPP,어깨-골반 평행도,°,0–3°,정상(세부),정상 범위 — 세부 패턴,"내전근, 대퇴직근","외측광근, 중둔근","슬괵근 마이오파샬 릴리스, 흉근신장(PNF)","Bridge, Hundred Prep","Bridge on Reformer, Elephant","Leg Springs - Supine, Roll Down with Push Through Bar","Press Down Front, Spine Stretch Forward (Chair)",Adductor Stretch on Barrel,정상 범위,초급,2025-11-06
LLD,하지길이차,cm,≤1cm,좌단축(세부),좌 하지 단축/기능적 비대칭 — 세부 패턴,"상부승모, 외측광근","능형근, 심부경부굴근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Side-Lying Leg Lift, Single Leg Stretch","Long Stretch, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Hamstring Press, Press Down Front",Shoulder Extension on Barrel,좌 하지 단축/기능적 비대칭,초급,2025-11-06
QANGLE,Q각,°,10–20°,정상(세부),정상 범위 — 세부 패턴,"대퇴이두, 장요근","내측광근, 심부경부굴근","견갑하근 트리거포인트, 흉추 가동술","Rolling Like a Ball, Single Leg Stretch","Footwork Parallel Heels, Side Splits","Arm Springs - Extension, Tower Swan","Standing Hip Extension, Step Up Lateral",Adductor Stretch on Barrel,정상 범위,고급,2025-11-06
KNEEDEV,무릎편위,°,0–3°,외측편위(세부),슬개 외측 이동 — 세부 패턴,"내전근, 내측광근","내측광근, 전거근","경정수기이완, 흉근신장(PNF)","Dead Bug, Hundred Prep","Knee Stretch Series, Side Splits","Leg Springs - Supine, Roll Down with Push Through Bar","Hamstring Press, Swan Press",Shoulder Extension on Barrel,슬개 외측 이동,고급,2025-11-06
KAS,무릎정렬대칭성,°,0–3°,정상(세부),정상 범위 — 세부 패턴,"대퇴직근, 상부승모","능형근, 중하부승모","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Bridge, Swan Prep","Elephant, Long Stretch","Leg Springs - Supine, Teaser Prep on Cadillac","Step Up Lateral, Swan Press",Short Box Round Back,정상 범위,고급,2025-11-06
LLAS,하지축대칭성,°,0–3°,비대칭(세부),고관절/무릎/발목 정렬 차 — 세부 패턴,"견갑거근, 대퇴이두","심부경부굴근, 중둔근","흉근신장(PNF), 흉추 가동술","Dead Bug, Prone Scapular Retraction","Elephant, Footwork Parallel Heels","Arm Springs - Extension, Tower Swan","Press Down Front, Spine Stretch Forward (Chair)",Short Box Round Back,고관절/무릎/발목 정렬 차,초급,2025-11-06
FBA,발정렬각,°,0–7°,정상(세부),정상 범위 — 세부 패턴,"대퇴직근, 후두하근","비골근, 심부경부굴근","견갑하근 트리거포인트, 장요근 스트레칭","Dead Bug, Swan Prep","Long Stretch, Pulling Straps","Leg Springs - Supine, Teaser Prep on Cadillac","Press Down Front, Spine Stretch Forward (Chair)",Adductor Stretch on Barrel,정상 범위,중급,2025-11-06
CVA,두개경추각,°,≥50°,정상(세부),정상 범위 내 정렬 — 세부 패턴,"대퇴직근, 요추기립근","전경골근, 중둔근","슬개 추적 교정 테이핑, 흉추 가동술","Side-Lying Leg Lift, Spine Twist","Footwork Parallel Heels, Scooter","Cat Stretch, Roll Down with Push Through Bar","Hamstring Press, Press Down Front",Short Box Round Back,정상 범위 내 정렬,중급,2025-11-06
HPD,두부전방이동,cm,≤2cm,정상(세부),정상 범위 — 세부 패턴,"비복근, 햄스트링","둔중근, 심부경부굴근","장요근 스트레칭, 흉추 가동술","Bridge, Hundred Prep","Footwork Parallel Heels, Pulling Straps","Cat Stretch, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Step Up Lateral",Shoulder Extension on Barrel,정상 범위,초급,2025-11-06
TIA,체간경사각,°,0–10°,낮음/후방기울기(세부),편평등 경향 — 세부 패턴,"장요근, 후두하근","외측광근, 중하부승모","슬개 추적 교정 테이핑, 슬괵근 마이오파샬 릴리스","Bridge, Prone Scapular Retraction","Rowing Back, Side Splits","Cat Stretch, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Swan Press",Short Box Round Back,편평등 경향,고급,2025-11-06
SAA,어깨전방각,°,0–10°,정상(세부),정상 범위 — 세부 패턴,"견갑거근, 후두하근","외측광근, 전거근","견갑하근 트리거포인트, 흉추 가동술","Bridge, Swan Prep","Bridge on Reformer, Pulling Straps","Cat Stretch, Leg Springs - Supine","Press Down Front, Step Up Lateral",Short Box Round Back,정상 범위,고급,2025-11-06
PTA,골반 전후경사각,°,0–15°,정상(세부),정상 범위 — 세부 패턴,"외측광근, 장요근","내측광근, 복횡근","흉근신장(PNF), 흉추 가동술","Bridge, Side-Lying Leg Lift","Knee Stretch Series, Pulling Straps","Cat Stretch, Tower Swan","Hamstring Press, Press Down Front",Short Box Round Back,정상 범위,초급,2025-11-06
KA,무릎각,°,175–185°,정상(세부),정렬 양호 — 세부 패턴,"내측광근, 소흉근","비골근, 외측광근","견갑하근 트리거포인트, 슬개 추적 교정 테이핑","Hundred Prep, Side-Lying Leg Lift","Footwork Parallel Heels, Knee Stretch Series","Leg Springs - Supine, Tower Swan","Press Down Front, Swan Press",Adductor Stretch on Barrel,정렬 양호,고급,2025-11-06
Tibial,경골경사각,°,0–10°,높음(전방경사)(세부),하퇴 전방 경사 증가 — 세부 패턴,"상부승모, 요추기립근","비골근, 중하부승모","슬개 추적 교정 테이핑, 흉추 가동술","Prone Scapular Retraction, Swan Prep","Rowing Back, Scooter","Arm Springs - Extension, Cat Stretch","Hamstring Press, Standing Hip Extension",Side Bend on Barrel,하퇴 전방 경사 증가,중급,2025-11-06
