key,posture_ko,posture_en,region,joint_mechanics,functional_line,tight_primary,tight_secondary,tight_description,weak_primary,weak_secondary,weak_description,causes,symptoms,compensation_patterns,stretch_focus,strengthen_focus,mobility_focus,observation,tests,palpation,clinical_significance,ai_metrics
Hip External Rotation Bias,고관절 외회전 편향,Hip External Rotation Bias,고관절,외회전 과다,Spiral Line,외회전근,중둔근,단축/과활성 패턴,TFL,내전근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,외회전근,TFL,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipER"": ""> 60°""}"
Hip Flexion Tightness,고관절 굴곡 구축,Hip Flexion Tightness,고관절,굴곡 구축,SFL 과활성,장요근/대퇴직근,TFL,단축/과활성 패턴,둔근,복부 코어,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,장요근/대퇴직근,둔근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipFlexion"": ""< 110°""}"
Hip Extension Limitation,고관절 신전 제한,Hip Extension Limitation,고관절,신전 제한,DFL 억제,장요근/대퇴직근,TFL,단축/과활성 패턴,대둔근/햄스트링,다열근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,장요근/대퇴직근,대둔근/햄스트링,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipExtension"": ""< 10°""}"
Ankle Dorsiflexion Limitation,발목 배측굴곡 제한,Ankle Dorsiflexion Limitation,발목,배측굴곡 제한,SBL 과활성,비복근/가자미근,TFL,단축/과활성 패턴,전경골근,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비복근/가자미근,전경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""AnkleDF"": ""< 10°""}"
Ankle Plantarflexion Limitation,발목 저측굴곡 제한,Ankle Plantarflexion Limitation,발목,저측굴곡 제한,SFL 억제,전경골근,비골근,단축/과활성 패턴,비복/가자미,햄스트링,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,전경골근,비복/가자미,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""AnklePF"": ""< 40°""}"
Calcaneal Valgus,종골 외반,Calcaneal Valgus,발,종골 외반,Lat Line,비골근,후경골근,단축/과활성 패턴,후경골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비골근,후경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Rearfoot"": ""Valgus""}"
Calcaneal Varus,종골 내반,Calcaneal Varus,발,종골 내반,Medial Bias,후경골근,비골근,단축/과활성 패턴,비골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후경골근,비골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Rearfoot"": ""Varus""}"
Forefoot Varus,전족 내반,Forefoot Varus,발,전족 내반,Medial Bias,비골근,후경골근,단축/과활성 패턴,후경골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비골근,후경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Forefoot"": ""Varus""}"
Forefoot Valgus,전족 외반,Forefoot Valgus,발,전족 외반,Lateral Bias,후경골근,비골근,단축/과활성 패턴,비골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후경골근,비골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Forefoot"": ""Valgus""}"
Leg Length Discrepancy Structural,하지 길이차(구조적),Leg Length Discrepancy Structural,하지,골반 기울기/측만 보상,Lat Line,TFL/요방형근 상승측,기립근,단축/과활성 패턴,중둔근 하강측,둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL/요방형근 상승측,중둔근 하강측,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""LLD"": ""> 1 cm""}"
Leg Length Discrepancy Functional,하지 길이차(기능적),Leg Length Discrepancy Functional,하지,기능적 골반 회전/경사,Lat/Spiral,TFL/요방형근,기립근,단축/과활성 패턴,중둔근,둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL/요방형근,중둔근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""LLD"": ""> 1 cm (functional)""}"
Patellofemoral Maltracking Lateral,슬개 대퇴 외측 미정렬,Patellofemoral Maltracking Lateral,무릎,슬개 외측 편위,Lateral Bias,TFL/VL,비복근,단축/과활성 패턴,VMO,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL/VL,VMO,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Patellar"": ""Lateral""}"
Patellofemoral Maltracking Medial,슬개 대퇴 내측 미정렬,Patellofemoral Maltracking Medial,무릎,슬개 내측 편위,Medial Bias,VMO,중둔근,단축/과활성 패턴,TFL/VL,비골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,VMO,TFL/VL,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Patellar"": ""Medial""}"
Pronation Syndrome,과내전 증후군,Pronation Syndrome,발,과내전,Lat Line,비골근,비복근,단축/과활성 패턴,후경골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비골근,후경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FBA"": ""Pronation""}"
Supination Syndrome,과외번 증후군,Supination Syndrome,발,과외번,Lateral Bias,후경골근,전경골근,단축/과활성 패턴,비골근,비복근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후경골근,비골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FBA"": ""Supination""}"
Cervical Hypolordosis,경추 저전만,Cervical Hypolordosis,경추,경추 전만 감소,DFL 억제,SCM/사각근,상부승모,단축/과활성 패턴,심부경부굴근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,SCM/사각근,심부경부굴근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""CervLordosis"": ""Low""}"
Cervical Hyperlordosis,경추 과전만,Cervical Hyperlordosis,경추,경추 전만 증가,SFL 과활성,기립근,상부승모,단축/과활성 패턴,심부굴근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,기립근,심부굴근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""CervLordosis"": ""High""}"
Thoracolumbar Junction Stiffness,흉요추 이행부 경직,Thoracolumbar Junction Stiffness,흉요추,이행부 경직,Back Line,기립근,요방형근,단축/과활성 패턴,다열근,횡격막,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,기립근,다열근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TLJ"": ""Stiff""}"
Anterior Weight Shift,전방 체중 이동,Anterior Weight Shift,전신,전방 중심 이동,SFL 과활성,대퇴직근/비복근,요추기립근,단축/과활성 패턴,둔근/햄스트링,복횡근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,대퇴직근/비복근,둔근/햄스트링,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""GSB"": ""> 2 cm""}"
Posterior Weight Shift,후방 체중 이동,Posterior Weight Shift,전신,후방 중심 이동,SBL 과활성,햄스트링/둔근,다열근,단축/과활성 패턴,대퇴직근/장요근,복직근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,햄스트링/둔근,대퇴직근/장요근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""GSB"": ""< -2 cm""}"
Scapular Downward Rotation,견갑 하방회전 편향,Scapular Downward Rotation,견갑,하방회전 편향,Back Line,능형근/거근,상부승모 약화,단축/과활성 패턴,상부승모/전거근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,능형근/거근,상부승모/전거근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""< 0°""}"
Scapular Upward Rotation Insufficiency,견갑 상방회전 부족,Scapular Upward Rotation Insufficiency,견갑,상방회전 부족,AFL 억제,소흉근/능형근,상부승모 약화,단축/과활성 패턴,상부승모/전거근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,소흉근/능형근,상부승모/전거근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""> 10° with dyskinesis""}"
Humeral Anterior Glide,상완골 전방 미끄러짐,Humeral Anterior Glide,어깨,상완두 전방 활주,AFL 과활성,대흉근/소흉근,전면삼각근,단축/과활성 패턴,후하부 회전근개,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,대흉근/소흉근,후하부 회전근개,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""> 10° + anterior glide""}"
Glenohumeral IR Deficit,어깨 내회전 결손(GIRD),Glenohumeral IR Deficit,어깨,내회전 제한,Posterior Capsule Tight,후하부 관절낭/극하근,소원추근,단축/과활성 패턴,전거근/하부승모,흉추기립근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후하부 관절낭/극하근,전거근/하부승모,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""GH_IR"": ""< 60°""}"
Glenohumeral ER Deficit,어깨 외회전 결손,Glenohumeral ER Deficit,어깨,외회전 제한,Anterior Capsule Tight,대흉근/전면삼각근,소흉근,단축/과활성 패턴,극하근/소원추근,중부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,대흉근/전면삼각근,극하근/소원추근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""GH_ER"": ""< 80°""}"
Functional Asymmetry 70,기능적 비대칭 70,Functional Asymmetry 70,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 71,기능적 비대칭 71,Functional Asymmetry 71,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 72,기능적 비대칭 72,Functional Asymmetry 72,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 73,기능적 비대칭 73,Functional Asymmetry 73,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 74,기능적 비대칭 74,Functional Asymmetry 74,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 75,기능적 비대칭 75,Functional Asymmetry 75,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 76,기능적 비대칭 76,Functional Asymmetry 76,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 77,기능적 비대칭 77,Functional Asymmetry 77,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 78,기능적 비대칭 78,Functional Asymmetry 78,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 79,기능적 비대칭 79,Functional Asymmetry 79,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 80,기능적 비대칭 80,Functional Asymmetry 80,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 81,기능적 비대칭 81,Functional Asymmetry 81,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 82,기능적 비대칭 82,Functional Asymmetry 82,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 83,기능적 비대칭 83,Functional Asymmetry 83,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 84,기능적 비대칭 84,Functional Asymmetry 84,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 85,기능적 비대칭 85,Functional Asymmetry 85,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 86,기능적 비대칭 86,Functional Asymmetry 86,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 87,기능적 비대칭 87,Functional Asymmetry 87,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 88,기능적 비대칭 88,Functional Asymmetry 88,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 89,기능적 비대칭 89,Functional Asymmetry 89,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 90,기능적 비대칭 90,Functional Asymmetry 90,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 91,기능적 비대칭 91,Functional Asymmetry 91,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 92,기능적 비대칭 92,Functional Asymmetry 92,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 93,기능적 비대칭 93,Functional Asymmetry 93,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 94,기능적 비대칭 94,Functional Asymmetry 94,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 95,기능적 비대칭 95,Functional Asymmetry 95,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 96,기능적 비대칭 96,Functional Asymmetry 96,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 97,기능적 비대칭 97,Functional Asymmetry 97,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 98,기능적 비대칭 98,Functional Asymmetry 98,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 99,기능적 비대칭 99,Functional Asymmetry 99,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
Functional Asymmetry 100,기능적 비대칭 100,Functional Asymmetry 100,전신,측면 라인 불균형,Lat/Spiral 혼합,"TFL, 요방형근",비골근,단축/과활성 패턴,"중둔근, 복횡근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 요방형근","중둔근, 복횡근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Asymmetry"": ""Present""}"
